Hostname,Agent UUID,Status,Status Reason,Last Reported,Last User,Operating System,Sysmon,IP Address,Mac Address,Version,Containment Driver,VDI State
HOWLVASTSM02,5329f6e5-9593-4b1a-969c-837610673278,Offline (3 hours),,2024-07-19 05:20:40 +0000 UTC,stonemadm,Microsoft Windows Server 2019,13.31,172.17.122.75,00:50:56:8f:16:31,2023-02_138,disabled,None
DAEPMDBDVM11,28510121-51da-4614-a4a5-86f1039f6f62,Offline (3 hours),,2024-07-19 05:32:54 +0000 UTC,wrightaadm,Microsoft Windows Server 2019,13.31,172.17.127.93,00:50:56:8f:56:e9,2023-02_138,disabled,None
HOQCRQCDVM01,ce79eb30-5daf-4fdb-b7ba-2f13a9f1b405,Offline (3 hours),,2024-07-19 05:36:44 +0000 UTC,gaurkheaadm,Microsoft Windows Server 2012 R2,13.31,172.17.123.122,00:50:56:8f:0a:75,2023-02_138,disabled,None
DAWDXASDVM01,2f2f67f2-06bd-4063-af6b-2df330c42ad7,Offline (3 hours),,2024-07-19 05:21:42 +0000 UTC,snyderjadm,Microsoft Windows Server 2019,13.31,172.17.127.84,00:50:56:8f:a3:50,2023-02_138,disabled,None
DABATASTSM01,7951480f-8618-46ab-acdb-c9e6d478a99e,Offline (3 hours),,2024-07-19 05:41:35 +0000 UTC,haqmaleadm,Microsoft Windows Server 2019,13.31,172.17.127.80,00:50:56:8f:6b:a7,2023-02_138,disabled,None
DAINTWSTSM01,0f16f25c-7bb3-4be9-a845-dc580e4b2f33,Offline (4 hours),,2024-07-19 05:00:53 +0000 UTC,snyderjadm,Microsoft Windows Server 2019,13.31,172.17.127.89,00:50:56:8f:1a:7a,2023-02_138,disabled,None
DAGENLSTSM01,53cb297a-82c0-43a5-8bec-be6663585cc1,Offline (3 hours),,2024-07-19 05:39:51 +0000 UTC,haqmaleadm,Microsoft Windows Server 2019,13.31,172.17.127.92,00:50:56:8f:21:6b,2023-02_138,disabled,None
HOGENSQDVM14,7b62c3e9-8ee9-4971-be37-49cbae103138,Offline (3 hours),,2024-07-19 05:18:02 +0000 UTC,givensjadm,Microsoft Windows Server 2016,,172.17.125.87,00:50:56:8f:3f:2a,2023-02_138,disabled,None
DAARMASTSM01,5b919ad5-de9a-4e92-9241-0b26e4c701b4,Offline (3 hours),,2024-07-19 05:08:59 +0000 UTC,haqmaleadm,Microsoft Windows Server 2019,13.31,172.17.127.101,00:50:56:8f:21:e2,2023-02_138,disabled,None
DAWDXASTSM01,f45f7790-a303-4eaa-a77e-f54b62ce032b,Offline (3 hours),,2024-07-19 05:37:26 +0000 UTC,snyderjadm,Microsoft Windows Server 2019,13.31,172.17.127.82,00:50:56:8f:86:4d,2023-02_138,disabled,None
HOINFASTSM02,b56ddcf1-ef7d-4523-ab26-8509529a5f88,Offline (3 hours),,2024-07-19 05:44:44 +0000 UTC,haqmaleadm,Microsoft Windows Server 2012 R2,13.31,172.17.122.199,00:50:56:8f:08:47,2023-02_138,disabled,None
DAGENASTSM05,2ad73489-2f78-4dc3-a077-cc5de4ccce70,Offline (3 hours),,2024-07-19 05:30:20 +0000 UTC,snyderjadm,Microsoft Windows Server 2019,13.31,172.17.127.110,00:50:56:8f:80:9c,2023-02_138,disabled,None
DADOPASDVM01,9f417c23-8d69-45a4-afc5-0648e8bfcc07,Offline (3 hours),,2024-07-19 05:18:17 +0000 UTC,Commander,Microsoft Windows Server 2019,,172.16.254.93,00:50:56:9c:0d:db,2023-02_138,disabled,None
DASTOASTSM01,2e937119-3a05-48e3-bdbd-5d52904127cd,Offline (3 hours),,2024-07-19 05:17:35 +0000 UTC,frederloadm,Microsoft Windows Server 2019,13.31,172.17.127.79,00:50:56:8f:ee:f3,2023-02_138,disabled,None
DAOSPASTSM01,2cb94625-2f53-451b-be98-32447579ac41,Offline (3 hours),,2024-07-19 05:09:23 +0000 UTC,dangpadm,Microsoft Windows Server 2019,13.31,172.17.127.126,00:50:56:8f:8d:51,2023-02_138,disabled,None
DAPHYLSPDM01,f58fe402-b73f-4295-a2b3-fefd6e3f7293,Offline (3 hours),,2024-07-19 05:53:30 +0000 UTC,dangpadm,Microsoft Windows Server 2019,13.31,172.17.22.77,2c:5a:0f:7b:c9:6e,2023-02_138,disabled,None
DADEVASPDM02,b03c4bb5-292c-49ad-80cf-373a746687cc,Offline (3 hours),,2024-07-19 05:16:56 +0000 UTC,svc_scomad,Microsoft Windows Server 2019,13.31,172.20.38.132,00:50:56:9c:38:fb,2023-02_138,disabled,None
DAGENLSPDM01,70d51629-873a-4a68-aee6-960539fb057f,Offline (3 hours),,2024-07-19 05:32:30 +0000 UTC,svc_scomad,Microsoft Windows Server 2019,13.31,172.20.38.106,00:50:56:9c:6c:f3,2023-02_138,disabled,None
HOSPFASPDM02,ccb601ea-0840-45f8-8948-4ab5c7a7b48b,Offline (3 hours),,2024-07-19 05:20:06 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.17.24.191,00:50:56:8a:26:3a,2023-02_138,disabled,None
DAEXTWSPDM01,c0bdb5aa-ff17-4805-8d7d-04f49abdb117,Offline (3 hours),,2024-07-19 05:32:25 +0000 UTC,haqmaleadm,Microsoft Windows Server 2019,13.31,172.20.38.101,00:50:56:9c:c9:34,2023-02_138,disabled,None
DANSCDTPDM01,fb25b65a-05b0-4e07-8963-ef7f5eefb49a,Offline (3 hours),,2024-07-19 05:22:31 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.98,00:50:56:9c:e8:1a,2023-02_138,disabled,None
DABATASPDM01,6c6eda7a-cb81-4600-8c2a-08b8500c29c1,Offline (3 hours),,2024-07-19 05:16:30 +0000 UTC,svc_oms,Microsoft Windows Server 2019,13.31,172.20.38.50,00:50:56:9c:b5:70,2023-02_138,disabled,None
DAIHSPURGPDM10,6d66c264-56c5-457d-b66c-7392ae5444fe,Offline (3 hours),,2024-07-19 05:18:06 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.117,00:50:56:9c:e2:9e,2023-02_138,disabled,None
DAIHSPURGPDM07,e9cd6341-b02f-4cb3-b5f7-0c8d9edf98b8,Offline (3 hours),,2024-07-19 05:17:39 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.113,00:50:56:9c:70:b6,2023-02_138,disabled,None
DAOSPASPDM01,65e5b687-04dd-4d04-bbe8-a2a08d883eda,Offline (3 hours),,2024-07-19 05:16:43 +0000 UTC,svc_openspirit,Microsoft Windows Server 2019,13.31,172.20.38.135,00:50:56:9c:dc:50,2023-02_138,disabled,None
HOWLVDWPDM02,fb01cdbd-3e3c-42ac-af66-752e70993812,Offline (4 hours),,2024-07-19 05:01:13 +0000 UTC,haqmaleadm,Microsoft Windows Server 2019,13.31,172.17.22.164,00:50:56:8a:4f:e2,2023-02_138,disabled,None
DAIHSPURGPDM05,7cb09e93-e6f7-43a4-a76e-4c30b8bc392a,Offline (3 hours),,2024-07-19 05:34:08 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.111,00:50:56:9c:63:27,2023-02_138,disabled,None
DAIHSPURGPDM01,7b88c0d5-e703-44d1-be90-29a6b8058e62,Offline (3 hours),,2024-07-19 05:48:29 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.107,00:50:56:9c:a5:d9,2023-02_138,disabled,None
DAIHSPURGPDM04,1384d124-6151-4dc7-8aab-2469af6487c2,Offline (3 hours),,2024-07-19 05:32:27 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.110,00:50:56:9c:ce:c0,2023-02_138,disabled,None
HOADSDCPDM03,9fd13027-7501-436a-b4b6-38b3c47f9117,Offline (3 hours),,2024-07-19 05:07:13 +0000 UTC,svc_adfs,Microsoft Windows Server 2016,13.31,172.17.22.246,00:50:56:8a:fa:25,2023-02_138,disabled,None
DAIHSPURGPDM09,860fbe0c-cf41-4188-b66c-af0e77383e85,Offline (3 hours),,2024-07-19 05:49:36 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.116,00:50:56:9c:5d:15,2023-02_138,disabled,None
DAIHSPURGPDM03,7736343c-7be7-4a7a-9ca1-3e3211dd2162,Offline (3 hours),,2024-07-19 05:33:14 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.109,00:50:56:9c:0f:2b,2023-02_138,disabled,None
DAWDXASPDM01,e8f2bdec-1ef2-4534-be2a-b66183dd532f,Offline (4 hours),,2024-07-19 05:04:47 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.51,00:50:56:9c:1a:70,2023-02_138,disabled,None
HOSPSUTPDM03,c70eafda-b068-4eda-aea5-a8a60c808176,Offline (3 hours),,2024-07-19 05:19:15 +0000 UTC,bahmadm,Microsoft Windows Server 2016,13.31,172.17.38.13,00:50:56:8a:13:5e,2023-02_138,disabled,None
DAAPVOLPDM01,7235b08c-d846-463a-ba5b-234fe4883a79,Offline (3 hours),,2024-07-19 05:12:43 +0000 UTC,svc_scmadm,Microsoft Windows Server 2016,13.31,172.17.26.215,00:50:56:9c:91:c8,2023-02_138,disabled,None
DASTOBKPDM09,9ac2bca5-9fc8-4031-a91e-57a199b1cac3,Offline (3 hours),,2024-07-19 05:27:44 +0000 UTC,svc_scomad,Microsoft Windows Server 2019,13.31,172.20.38.93,00:50:56:9c:a9:df,2023-02_138,disabled,None
DAINTWSPDM01,3221816b-b5a2-441f-8f88-1d22916009ae,Offline (3 hours),,2024-07-19 06:02:14 +0000 UTC,haqmaleadm,Microsoft Windows Server 2019,13.31,172.20.38.99,00:50:56:9c:ff:be,2023-02_138,disabled,None
HOU-TMS01,67472a24-ca38-4ce5-923c-8b7e649f311c,Offline (3 hours),,2024-07-19 05:19:26 +0000 UTC,hayesc,Microsoft Windows Server 2016,13.31,172.18.21.26,00:50:56:8a:05:d2,2023-02_138,disabled,None
HOADSDCPDM02,0ba8e54e-b151-4e93-80e5-9b52ef9c5f33,Offline (3 hours),,2024-07-19 05:16:46 +0000 UTC,svc_scomad,Microsoft Windows Server 2016,13.31,172.17.22.11,00:50:56:8a:17:7c,2023-02_138,disabled,None
DADOPASPDM01,dd185661-4918-4d7a-9484-7d7fa923e180,Offline (3 hours),,2024-07-19 05:20:26 +0000 UTC,Commander,Microsoft Windows Server 2019,,172.16.254.92,00:50:56:9c:1b:70,2023-02_138,disabled,None
HOTDLASPDM01,f778387c-ec53-4736-9547-9acd06fda5f8,Offline (3 hours),,2024-07-19 05:54:34 +0000 UTC,bahmadm,Microsoft Windows Server 2019,,172.17.26.9,00:50:56:8a:70:df,2023-02_138,disabled,None
HOTDLMSPDM02,87e072c8-193e-4639-8fd0-2afab30c3585,Offline (3 hours),,2024-07-19 05:35:24 +0000 UTC,koomadm,Microsoft Windows Server 2019,,172.17.26.24,00:50:56:8a:70:2f,2023-02_138,disabled,None
DASTOBKPDM03,fb138ab1-4980-4bfe-9d5c-c825b3177edc,Offline (3 hours),,2024-07-19 05:25:10 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,,172.20.38.143,00:50:56:9c:51:d4,2023-02_138,disabled,None
DASTOBKPDM07,effaa174-eaae-4bab-bd15-a8b0d735abc0,Offline (3 hours),,2024-07-19 05:41:23 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.145,00:50:56:9c:fc:c6,2023-02_138,disabled,None
DASTOBKPDM04,2c07fb30-b465-47db-9e2b-1cd22f423cf6,Offline (3 hours),,2024-07-19 05:40:41 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.144,00:50:56:9c:7e:70,2023-02_138,disabled,None
DASTOBKPDM05,75faab20-e7d8-49ee-b604-8e201546af2b,Offline (3 hours),,2024-07-19 05:25:47 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,,172.20.38.140,00:50:56:9c:fd:09,2023-02_138,disabled,None
DASTOBKPDM06,d589dd22-7f9c-439e-8a41-51038ef21433,Offline (3 hours),,2024-07-19 05:41:13 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.139,00:50:56:9c:a8:9e,2023-02_138,disabled,None
DASTOBKPDM02,9365d04a-87e1-40ca-96eb-bb72483e1470,Offline (3 hours),,2024-07-19 05:09:50 +0000 UTC,svc_scomad,Microsoft Windows Server 2019,13.31,172.20.38.142,00:50:56:9c:81:ed,2023-02_138,disabled,None
HOGENLSPDM02,ec95e54f-3b9f-4c32-b3d2-f0513e19c2de,Offline (4 hours),,2024-07-19 05:03:11 +0000 UTC,haqmaleadm,Microsoft Windows Server 2019,13.31,172.17.24.234,00:50:56:8a:14:cf,2023-02_138,disabled,None
DADBSSQPDM00,a5306332-c67b-40b2-b098-56f3ea1567fd,Offline (3 hours),,2024-07-19 05:11:48 +0000 UTC,bahmadm,Microsoft Windows Server 2019,13.31,172.20.38.151,00:50:56:9c:ae:fc,2023-02_138,disabled,None
DADBSSQQAM01,2a8f9b00-3eaa-40fe-9edf-193e002c4198,Offline (3 hours),,2024-07-19 05:39:43 +0000 UTC,wrightaadm,Microsoft Windows Server 2019,,172.20.122.29,00:50:56:8f:32:a7,2023-02_138,disabled,None
DADBSSQTSM02,a837d972-b832-4329-b3e5-fad5daced5e3,Offline (3 hours),,2024-07-19 05:23:58 +0000 UTC,givensjadm,Microsoft Windows Server 2019,,172.17.127.134,00:50:56:8f:43:40,2023-02_138,disabled,None
DADBSSQDVM01,a4a3ff39-fd0d-4954-9208-77d2d3b0517f,Offline (3 hours),,2024-07-19 05:09:37 +0000 UTC,givensjadm,Microsoft Windows Server 2019,,172.17.127.135,00:50:56:8f:8d:3d,2023-02_138,disabled,None
DADBSSQPDM02,75043bdd-c82a-48e0-ab4d-ae38ad50179c,Offline (3 hours),,2024-07-19 05:21:56 +0000 UTC,svc_scomad,Microsoft Windows Server 2019,13.31,172.20.38.156,00:50:56:9c:4a:f6,2023-02_138,disabled,None
DADFSASPDM02,583bad9e-3b97-4ae8-9277-b16d6bf3abea,Offline (4 hours),,2024-07-19 05:04:20 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.96,00:50:56:9c:f0:e1,2023-02_138,disabled,None
VDIDD10DSTPDM04,960764da-4aa0-462a-bb93-4ae1cca84c9e,Offline (3 hours),,2024-07-19 05:43:33 +0000 UTC,crawfojo,Microsoft Windows 10,13.31,172.20.50.131,00:50:56:b2:06:d4,2023-02_138,disabled,None
5CG74220Q7,4e74dc43-4372-4f5a-9009-df535b7ca39e,Offline (2 days),,2024-07-16 22:54:50 +0000 UTC,modonj,Microsoft Windows 10,13.31,10.64.69.20,f8:34:41:e9:22:76,2023-02_138,disabled,None
DAVMBKPTSM01,89645562-0c62-4b0a-a164-90e69fab9e3a,Offline (3 hours),,2024-07-19 05:29:16 +0000 UTC,snyderjadm,Microsoft Windows Server 2019,13.31,172.17.127.106,00:50:56:8f:cd:00,2023-02_138,disabled,None
DAGENLSPDM10,8908055f-5ca4-4d9c-98f9-56293d103b66,Offline (3 hours),,2024-07-19 05:49:14 +0000 UTC,hendridoadm,Microsoft Windows Server 2019,13.31,172.20.38.152,00:50:56:9c:ce:95,2023-02_138,disabled,None
DAVDICNPDM01,86abfcc6-5748-4d21-9491-cfe738616523,Offline (3 hours),,2024-07-19 05:09:27 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.17.26.231,00:50:56:9c:52:a5,2023-02_138,disabled,None
DASTOAPTSM02,a5a2ea21-783d-4604-ae26-f92030cd22e1,Offline (3 hours),,2024-07-19 05:32:48 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.130,00:50:56:9c:ee:bd,2023-02_138,disabled,None
DAVDICNPDM03,44b9edab-6c49-4e95-b37c-e62472489d51,Offline (3 hours),,2024-07-19 05:34:13 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.17.26.233,00:50:56:9c:00:6a,2023-02_138,disabled,None
DAAPVOLTSM02,109887c6-cb87-429c-a78e-ea73792a6694,Offline (3 hours),,2024-07-19 05:07:30 +0000 UTC,wrightaadm,Microsoft Windows Server 2019,13.31,172.17.127.130,00:50:56:8f:11:a6,2023-02_138,disabled,None
DAVDICNPDM02,3cd9d059-3b9a-4df3-9e4c-ba5d6c97a0f4,Offline (3 hours),,2024-07-19 05:13:11 +0000 UTC,svc_scomad,Microsoft Windows Server 2019,13.31,172.17.26.232,00:50:56:9c:7f:99,2023-02_138,disabled,None
DARDSASTSM02,ce9aa4fd-6816-4f4a-9c82-c2b3dcdf7625,Offline (3 hours),,2024-07-19 05:18:33 +0000 UTC,,Microsoft Windows Server 2019,13.31,172.17.122.29,00:50:56:8f:78:14,2023-02_138,disabled,None
DARDSASTSM01,2ed3d398-1253-49b5-b5c6-e8e3819e4395,Offline (4 hours),,2024-07-19 05:05:23 +0000 UTC,snyderjadm,Microsoft Windows Server 2019,13.31,172.17.122.21,00:50:56:8f:d0:d9,2023-02_138,disabled,None
DADFSASPDM03,9e8e154f-ead2-4873-b63d-d15816eb0d49,Offline (3 hours),,2024-07-19 05:20:41 +0000 UTC,svc_scmadm,Microsoft Windows Server 2019,13.31,172.20.38.97,00:50:56:9c:a1:7b,2023-02_138,disabled,None
DASTOWATSM01,45f771f4-3f01-4ac9-8868-500770ffe5e8,Offline (3 hours),,2024-07-19 05:28:02 +0000 UTC,snyderjadm,Microsoft Windows Server 2019,,172.17.127.72,00:50:56:8f:c6:e9,2023-02_138,disabled,None
DASTOWAPDM01,e8056068-5e4c-4db1-bbda-75d64e140c62,Offline (3 hours),,2024-07-19 05:14:17 +0000 UTC,koomadm,Microsoft Windows Server 2019,,172.20.38.94,00:50:56:9c:23:ff,2023-02_138,disabled,None
DAGISSQDVM01,cfc26cae-df99-4d6e-810c-358b6f8e39f5,Offline (3 hours),,2024-07-19 05:39:04 +0000 UTC,wrightaadm,Microsoft Windows Server 2019,,172.17.127.83,00:50:56:8f:27:08,2023-02_138,disabled,None
DASTOJHTSN01,b6212e63-1354-403c-b6e1-3edb022fcdd8,Offline (3 hours),,2024-07-19 05:26:21 +0000 UTC,snyderjadm,Microsoft Windows Server 2019,,172.17.127.139,00:50:56:8f:4e:50,2023-02_138,disabled,None
DANWXSQPDM01,7dbe57ee-0583-4124-be66-8935f6980a39,Offline (3 hours),,2024-07-19 05:40:50 +0000 UTC,svc_netwrix_sql,Microsoft Windows Server 2019,,172.20.38.160,00:50:56:9c:23:8d,2023-02_138,disabled,None
HOGENLSPDM04,8f305640-7ab4-4ae9-a89d-521e4ddfdc02,Offline (3 hours),,2024-07-19 05:06:31 +0000 UTC,frederloadm,Microsoft Windows Server 2019,13.31,172.17.22.15,e4:11:5b:b8:ff:78,2023-02_138,disabled,None
DADBSSQTSM03,4286047f-200e-4fff-8b63-2fd5c9485f67,Offline (3 hours),,2024-07-19 05:35:33 +0000 UTC,wrightaadm,Microsoft Windows Server 2019,,172.17.127.141,00:50:56:8f:98:88,2023-02_138,disabled,None
5CG2077TNT,0e195b4e-aa35-4d6e-95ce-0db7531e2f81,Offline (12 hours),,2024-07-18 20:47:29 +0000 UTC,porschk,Microsoft Windows 10,13.31,10.33.16.72,a8:b1:3b:57:73:97,2023-02_138,disabled,None
5CG2077HB2,1c8b88eb-d618-41e5-8383-3d960773899f,Offline (13 hours),,2024-07-18 19:32:32 +0000 UTC,lasterj,Microsoft Windows 10,13.31,172.21.42.49,a8:b1:3b:57:24:5b,2023-02_138,disabled,None
5CG2102B8B,560cf350-4ad5-4e99-b331-c3f9be2bc2a1,Offline (12 hours),,2024-07-18 21:03:41 +0000 UTC,stepheng,Microsoft Windows 10,13.31,"10.33.80.16, 10.200.14.53","e8:ea:6a:4d:57:6f, 70:1a:b8:ea:cd:65",2023-02_138,disabled,None
5CG2077TXL,0674ccad-7203-4caa-9727-c5c4d3edf872,Offline (0 hours),,2024-07-19 08:12:47 +0000 UTC,ecklunde,Microsoft Windows 10,13.31,192.168.1.127,60:a5:e2:1d:ad:17,2023-02_138,disabled,None
5CG2077TQ0,43730583-b65a-4172-a09a-57d364121093,Offline (7 hours),,2024-07-19 01:45:32 +0000 UTC,shafera,Microsoft Windows 10,13.31,10.0.0.23,c4:bd:e5:34:4a:27,2023-02_138,disabled,None
5CG215295F,8e4bdbf1-bb70-483d-83ca-209ab79012db,Offline (10 hours),,2024-07-18 22:44:01 +0000 UTC,elkinst,Microsoft Windows 10,13.31,"10.33.80.13, 10.200.0.34","e8:ea:6a:4d:5d:0f, 70:a8:d3:5b:e8:7f",2023-02_138,disabled,None
5CG2152935,4ff264a3-6624-405f-aad3-07e03285da8c,Offline (10 hours),,2024-07-18 22:59:28 +0000 UTC,mcintosr,Microsoft Windows 10,13.31,10.33.96.45,e8:ea:6a:4d:5d:30,2023-02_138,disabled,None
6ITSA88436,c0ada594-137e-4d2a-b413-1cc93175a4cc,Offline (15 hours),,2024-07-18 17:19:53 +0000 UTC,estisc,Microsoft Windows 10,13.31,172.20.10.2,b8:8a:60:95:af:d8,2023-02_138,disabled,None
5CG2077TPY,cb5929f7-7600-42f7-8ced-50d3371b13d6,Offline (11 hours),,2024-07-18 21:12:04 +0000 UTC,cawleym,Microsoft Windows 10,13.31,"192.168.24.41, 172.28.48.1, 10.0.0.140","00:05:9a:3c:7a:00, 00:15:5d:24:e7:95, c4:bd:e5:d6:77:07",2023-02_138,disabled,None
5CG2113LZ8,0e66f2e4-968c-41c9-9840-9a16af3217a7,Offline (12 hours),,2024-07-18 20:53:56 +0000 UTC,dixonbr,Microsoft Windows 10,13.31,"10.33.48.39, 10.200.2.12","80:3f:5d:08:33:e1, 7c:21:4a:0f:40:06",2023-02_138,disabled,None
5CG2113LYC,7581a213-b9ce-4e42-909b-083ccd93a439,Offline (11 hours),,2024-07-18 21:46:40 +0000 UTC,northje,Microsoft Windows 10,13.31,10.33.32.27,e8:ea:6a:4d:5c:ef,2023-02_138,disabled,None
5CG2077TXX,c83b2e15-caea-4fcb-9119-02cf8077bb70,Offline (11 hours),,2024-07-18 21:16:37 +0000 UTC,bichlerb,Microsoft Windows 10,13.31,10.0.0.119,60:a5:e2:1e:49:34,2023-02_138,disabled,None
5CD143F7BN,4ff7a6c0-58d2-4931-bb95-849edf57ae83,Offline (12 hours),,2024-07-18 20:51:12 +0000 UTC,atkinsa,Microsoft Windows 10,13.31,"10.69.18.30, 10.69.21.57","e0:70:ea:c0:c8:ef, 7c:70:db:ce:24:53",2023-02_138,disabled,None
5CG2077TKT,b92d8e60-22c9-4ccd-b55f-bdb1a40b7cfe,Offline (11 hours),,2024-07-18 21:55:41 +0000 UTC,brownbi,Microsoft Windows 10,13.31,10.33.128.22,a8:b1:3b:57:e3:0e,2023-02_138,disabled,None
5CG2113LRJ,ebce5364-983d-4af5-b2d1-ecc910c4aede,Offline (11 hours),,2024-07-18 21:50:31 +0000 UTC,ostermicadm,Microsoft Windows 10,13.31,10.200.8.15,7c:21:4a:0f:40:33,2023-02_138,disabled,None
5CG2113MK9,ba0b6fd3-cbbb-4473-86ab-e4bdd5fb175b,Offline (2 days),,2024-07-16 21:47:21 +0000 UTC,deans,Microsoft Windows 10,13.31,"192.168.27.206, 192.168.1.71","00:05:9a:3c:7a:00, 7c:21:4a:0f:5d:e8",2023-02_138,disabled,None
5CG2077TNY,b47dd79a-6289-41d1-8956-8dffd9c745c9,Offline (1 day),,2024-07-17 13:51:44 +0000 UTC,wateraca,Microsoft Windows 10,13.31,10.64.69.7,c4:bd:e5:d6:79:dc,2023-02_138,disabled,None
5CG2077TWT,a8088ac1-1612-459f-91c6-27c8555987ea,Offline (12 hours),,2024-07-18 20:56:32 +0000 UTC,scriberj,Microsoft Windows 10,13.31,10.69.21.18,c4:bd:e5:86:42:f0,2023-02_138,disabled,None
DAAASPIPDM01,cdea950c-f44d-4013-a601-2f2c9f156da2,Offline (3 hours),,2024-07-19 05:08:51 +0000 UTC,DAAASPIPDM01\aaspitest,Microsoft Windows 10,13.31,172.20.26.16,00:50:56:b2:a4:e5,2023-02_138,disabled,None
5CG2113M8G,06712151-eee1-40a4-8ff9-99c80c48690e,Offline (11 hours),,2024-07-18 21:18:43 +0000 UTC,daniela,Microsoft Windows 10,13.31,"192.168.27.212, 192.168.1.93","00:05:9a:3c:7a:00, 7c:21:4a:0f:14:91",2023-02_138,disabled,None
5CG2077TV8,1ff39ead-f700-43b6-b890-430345d0ef13,Offline (12 hours),,2024-07-18 20:22:10 +0000 UTC,badgerd,Microsoft Windows 10,13.31,192.168.20.74,c4:bd:e5:86:41:5b,2023-02_138,disabled,None
